: Boosters :
EPSTMP5G.ZD2, EP Drive (v1.00 12.96%)
RCBST5G.ZD2, RC Drive (v1.00 9.55%)
OUT_BST.ZD2, OutputBST (v1.00 5.33%)
SPTBOOST.ZD2, SpotBoost (v1.00 12.17%)

: Overdrive :
TS_DRIVE.ZD2, TS Drive (v1.00 9.60%)
GOLD_DRV.ZD2, GoldDrive (v1.00 11.11%)
TS_BST1U.ZD2, TS+Boost (v1.00 12.67%)
BG_GRID.ZD2, BG GRID (v1.00 10.20%)
OVRDRV.ZD2, OverDriveOn (v1.00 12.63%)
SWEETDRV.ZD2, SweetDrv (v1.00 12.77%)
ZEN_DRV.ZD2, Zen O.DRV (v1.00 13.42%)
DYNDRIVE.ZD2, DYN Drive (v1.00 11.01%)

: Distortion :
LEAD.ZD2, Lead (v1.00 12.63%)
GOVERNOR.ZD2, Governor (v1.00 12.63%)
REDCR5G.ZD2, RedCrunch (v1.00 8.90%)
SQUEAK5G.ZD2, SqueakDST (v1.00 12.55%)
DISTPL5G.ZD2, Plus DIST (v1.00 12.72%)
RDCBST1U.ZD2, RedCR+BST (v1.00 11.98%)
DIST1_5G.ZD2, DIST One (v1.00 11.26%)
RAZORDRV.ZD2, Razor DRV (v1.00 13.98%)
WAVSHPR.ZD2, WaveSHPR (v1.00 13.92%)
VIOLTD5G.ZD2, VioletDST (v1.00 12.12%)
MTLWRLD.ZD2, MetalWRLD (v1.00 12.80%)
BGTHRTTL.ZD2, HG THRTTL (v1.00 11.86%)

: Fuzz :
UPOCTBST.ZD2, UpOctBSTR (v1.00 8.04%)
TB_MK15.ZD2, TB MK1.5 (v1.00 13.52%)
OCTFUZZ.ZD2, OctFuzz (v1.00 12.47%)
NYC_MUFF.ZD2, NYC Muff (v1.00 11.21%)

: Preamps :
MS45OSLT.ZD2, MS 45os (v1.00 32.58%)
MS1959LT.ZD2, MS 1959 (v1.00 31.77%)
MS800_LT.ZD2, MS 800 (v1.00 33.98%)
FDBMANLT.ZD2, FD B-MAN (v1.00 24.94%)
FD_TWRLT.ZD2, FD TWIN-R (v1.00 34.99%)
FDDLXRLT.ZD2, FD DLX-R (v1.00 31.57%)
FDMSTRLT.ZD2, FD MASTER (v1.00 34.19%)
UK30A_LT.ZD2, UK 30A (v1.00 32.38%)
BGMK1_LT.ZD2, BG MARK1 (v1.00 35.80%)
BGMK3_LT.ZD2, BG MARK3 (v1.00 35.59%)
RCTORGLT.ZD2, RectiDual (v1.00 33.38%)
XTSBL_LT.ZD2, XtasyBlue (v1.00 33.38%)
HW100_LT.ZD2, HW 100 (v1.00 31.90%)
ORG120LT.ZD2, ORG120 (v1.00 33.98%)
DZ_DRVLT.ZD2, DZ DRIVE (v1.00 31.37%)
MACH30LT.ZD2, MATCH30 (v1.00 33.38%)
KRMPS_LT.ZD2, KRAMPUS (v1.00 31.57%)
REDLM_LT.ZD2, REDLOOM (v1.00 32.78%)
VELVT_LT.ZD2, VELVET (v1.00 35.19%)
MUDDY_LT.ZD2, MUDDY (v1.00 35.78%)
7HEVN_LT.ZD2, 7 HEAVEN (v1.00 33.98%)
POLEX_LT.ZD2, POLLEX (v1.00 34.79%)

: Tools :
N_GATE.ZD2, NoiseGate (v1.00 6.81%)
ZNR.ZD2, ZNR (v1.00 4.35%)
GT_GEQ1U.ZD2, Gt GEQ (v1.00 5.90%)
GTGEQ75G.ZD2, Gt GEQ 7 (v1.00 5.74%)
PARAEQ5G.ZD2, ParaEQ (v1.00 5.08%)
LOW_EQ.ZD2, Low EQ (v1.00 4.43%)
HIGH_EQ.ZD2, High EQ (v1.00 3.32%)
COMP.ZD2, Comp (v1.00 5.58%)
RACKCOMP.ZD2, RackComp (v1.00 7.30%)
GRAYCOMP.ZD2, GrayComp (v1.00 13.12%)
OPTCOMP.ZD2, OptComp (v1.00 12.72%)
BLACKOPT.ZD2, BlackOpt (v1.00 9.85%)
MB_COMP.ZD2, MB Comp (v1.00 20.84%)
160_COMP.ZD2, 160 Comp (v1.00 12.63%)
LMT1176.ZD2, 1176 LMT (v1.00 13.45%)
ORANGLIM.ZD2, Orange Limi (v1.00 14.48%)
EXCITER.ZD2, Exciter (v1.00 8.70%)



