:: Dynamics & Filters ::
COMP.ZD2, Comp (v9.99 5.58%)
RACKCOMP.ZD2, RackComp (v9.99 7.30%)
GRAYCOMP.ZD2, GrayComp (v1.20 13.12%)
BLACKOPT.ZD2, BlackOpt (v1.10 9.85%)
LMT1176.ZD2, 1176 LMT (v1.10 13.45%)
ZNR.ZD2, ZNR (v1.10 4.35%)
N_GATE.ZD2, NoiseGate (v1.10 6.81%)
SLWATK.ZD2, SlowATTCK (v1.10 5.41%)
MUTESW.ZD2, MuteSW (v1.10 7.14%)
AUTOWAH.ZD2, AutoWah (v1.10 7.06%)
LOWPASSF.ZD2, LowPassFL (v1.10 8.12%)
GTGEQ75G.ZD2, Gt GEQ 7 (v1.10 5.74%)
STGTGE1U.ZD2, St Gt GEQ (v1.10 10.74%)
PARAEQ5G.ZD2, ParaEQ (v1.10 5.08%)
LOW_EQ.ZD2, Low EQ (v1.00 4.43%)
HIGH_EQ.ZD2, High EQ (v1.00 3.32%)

:: Overdrives & Distortions ::
EPSTMP5G.ZD2, EP Drive (v1.10 12.96%)
RCBST5G.ZD2, RC Drive (v1.10 9.55%)
TS_DRIVE.ZD2, TS Drive (v1.10 9.60%)
GOLD_DRV.ZD2, GoldDrive (v1.10 11.11%)
SWEETDRV.ZD2, SweetDrv (v1.10 12.77%)
ZEN_DRV.ZD2, Zen O.DRV (v1.10 13.42%)
DYNDRIVE.ZD2, DYN Drive (v1.10 11.01%)
DISTPL5G.ZD2, Plus DIST (v1.10 12.72%)
DIST1_5G.ZD2, DIST One (v1.10 11.26%)
SQUEAK5G.ZD2, SqueakDST (v1.10 12.55%)
REDCR5G.ZD2, RedCrunch (v1.10 8.90%)
VIOLTD5G.ZD2, VioletDST (v1.10 12.12%)
TB_MK15.ZD2, TB MK1.5 (v1.10 13.52%)
OCTFUZZ.ZD2, OctFuzz (v1.10 12.47%)
NYC_MUFF.ZD2, NYC Muff (v1.10 11.21%)
RDCBST1U.ZD2, RedCR+BST (v1.10 11.98%)
SPTBOOST.ZD2, SpotBoost (v1.10 12.17%)
UPOCTBST.ZD2, UpOctBSTR (v1.10 8.04%)
OUT_BST.ZD2, OutputBST (v1.10 5.33%)
ACOSIM.ZD2, Aco.Sim (v1.10 12.80%)

:: Amp Models & Preamps ::
MS45OSLT.ZD2, MS 45os (v1.00 32.58%)
MS1959LT.ZD2, MS 1959 (v1.00 31.77%)
MS800_LT.ZD2, MS 800 (v1.00 33.98%)
FDBMANLT.ZD2, FD B-MAN (v1.00 24.94%)
FD_TWRLT.ZD2, FD TWIN-R (v1.00 34.99%)
FDDLXRLT.ZD2, FD DLX-R (v1.00 31.57%)
FDMSTRLT.ZD2, FD MASTER (v1.00 34.19%)
UK30A_LT.ZD2, UK 30A (v1.00 32.38%)
BGMK1_LT.ZD2, BG MARK1 (v1.00 35.80%)
BGMK3_LT.ZD2, BG MARK3 (v1.00 35.59%)
RCTORGLT.ZD2, RectiDual (v1.00 33.38%)
XTSBL_LT.ZD2, XtasyBlue (v1.00 33.38%)
HW100_LT.ZD2, HW 100 (v1.00 31.90%)
ORG120LT.ZD2, ORG120 (v1.00 33.98%)
DZ_DRVLT.ZD2, DZ DRIVE (v1.00 31.37%)
MACH30LT.ZD2, MATCH30 (v1.00 33.38%)
KRMPS_LT.ZD2, KRAMPUS (v1.00 31.57%)
REDLM_LT.ZD2, REDLOOM (v1.00 32.78%)
VELVT_LT.ZD2, Velvet (v1.00 35.19%)
MUDDY_LT.ZD2, Muddy (v1.00 35.78%)
7HEVN_LT.ZD2, 7 HEAVEN (v1.00 33.98%)
POLEX_LT.ZD2, Pollex (v1.00 34.79%)

:: Modulation & Pitch Shifting ::
CHORUS.ZD2, Chorus (v1.10 6.77%)
CLONECHO.ZD2, CloneCho (v1.10 10.25%)
SUPERCHO.ZD2, ChorusOne (v1.10 8.45%)
CRNTRI5G.ZD2, TriChorus (v1.10 12.52%)
ANA234CH.ZD2, AnalogCho (v1.10 9.52%)
STEREOCH.ZD2, StereoCho (v1.10 7.46%)
DETUNE5G.ZD2, Detune (v1.10 5.90%)
TREMOLO.ZD2, ORG Trem (v1.00 8.78%)
PHASER.ZD2, Phaser (v1.10 7.46%)
STONEPHA.ZD2, StonePha (v1.10 7.79%)
THEVIBE.ZD2, TheVibe (v1.10 9.76%)
VINFLNG5.ZD2, VinFLNGR (v1.10 5.90%)
VIBRATO.ZD2, Vibrato (v1.10 7.38%)
OCTAVE5G.ZD2, Octaver (v1.10 6.73%)
PLYOCT.ZD2, PolyOct (v1.00 13.94%)
HPS.ZD2, HPS (v1.20 6.64%)
PLYLIGHT.ZD2, PolyShift (v1.00 13.94%)
GEMINOS.ZD2, GEMINOS (v1.10 10.42%)
RINGMOD.ZD2, RingMod (v1.10 4.76%)
SLICER.ZD2, Slicer (v1.10 8.28%)

:: Special SFX & Utility Blocks ::
AUTOPAN.ZD2, AutoPan (v1.10 4.10%)
LOOPROLL.ZD2, LoopRoll (v1.10 5.46%)
BOMBER.ZD2, Bomber (v1.10 8.45%)
LINESEL.ZD2, LineSel (v1.00 4.10%)
