:: Dynamics ::
DCOMP.ZD2, DYN Comp (v1.10 5.66%)
BLACKOPT.ZD2, BlackOpt (v1.10 10.86%)
OPTCOMP.ZD2, OptComp (v1.10 12.72%)
DUAL_CMP.ZD2, DualComp (v1.10 8.12%)
MB_COMP.ZD2, MB Comp (v1.10 20.84%)
GLAMCOMP.ZD2, Glam Comp (v1.10 11.26%)
160_COMP.ZD2, 160 Comp (v1.10 12.63%)
LMT1176.ZD2, 1176 LMT (v1.10 13.45%)
ZNR.ZD2, ZNR (v1.10 4.35%)
SLWATK.ZD2, SlowATTCK (v1.10 5.41%)

:: Filters & EQ ::
B_ATWAH.ZD2, BassA-Wah (v1.10 7.10%)
ENV_FLTR.ZD2, EnvFilter (v1.10 13.12%)
A_FILTER.ZD2, A-Filter (v1.10 7.22%)
Z_TRON.ZD2, Z TronFLT (v1.10 7.00%)
BA_CRY.ZD2, Bass Cry (v1.10 9.68%)
EGFLTR1U.ZD2, EG Filter (v1.10 11.40%)
SEQFLTR.ZD2, SeqFLTR (v1.10 8.53%)
BA_GEQ1U.ZD2, BassGEQ (v1.10 5.41%)
STBGEQ1U.ZD2, St Ba GEQ (v1.10 7.34%)
BA_PEQ.ZD2, BassPEQ (v1.10 4.18%)
LOW_EQ.ZD2, Low EQ (v1.10 4.43%)
HIGH_EQ.ZD2, High EQ (v1.10 3.32%)
SPLITTER.ZD2, Splitter (v1.10 5.58%)
EXCITER.ZD2, Exciter (v1.10 8.70%)

:: Drives & Distortions ::
EPSTMP5G.ZD2, EP Drive (v1.10 12.96%)
RCBST5G.ZD2, RC Drive (v1.20 9.55%)
BA_TSDRV.ZD2, BassTsDRV (v1.20 9.30%)
B_OD.ZD2, Bass OD (v1.10 13.78%)
BBB_OD.ZD2, BlueB DRV (v1.10 18.70%)
DARK_OD.ZD2, Dark OD (v1.10 21.33%)
SQUEAK5G.ZD2, SqueakDST (v1.10 12.55%)
VOODOO_B.ZD2, VooDoo-B (v1.10 18.66%)
BA_OCTFZ.ZD2, BassOctFZ (v1.10 25.92%)
NYC_MUFF.ZD2, NYC Muff (v1.10 13.94%)
BA_FZSML.ZD2, BaFzSmile (v1.10 12.63%)
BA_METAL.ZD2, BassMetal (v1.10 11.98%)
TS_BST1U.ZD2, TS+Boost (v1.10 13.94%)

:: Preamps ::
BA_DRV1U.ZD2, Bass DRV (v1.20 10.46%)
DIPLUS1U.ZD2, D.I Plus (v1.20 11.36%)
DRKPRE1U.ZD2, Dark Pre (v1.10 25.43%)
LINPRE.ZD2, Clear DRV (v1.10 20.67%)
PRE73.ZD2, 1073 Pre (v1.10 17.55%)
SOLPRE.ZD2, SolidPre (v1.10 15.26%)
DI5.ZD2, DI-5 Pre (v1.10 17.22%)
