:: Dynamics ::
COMP.ZD2, Comp (v1.10 5.58%)
RACKCOMP.ZD2, RackComp (v1.10 7.30%)
GRAYCOMP.ZD2, GrayComp (v1.20 13.12%)
OPTCOMP.ZD2, OptComp (v1.10 12.72%)
160_COMP.ZD2, 160 Comp (v1.00 12.63%)
DUAL_CMP.ZD2, DualComp (v1.00 8.12%)
MB_COMP.ZD2, MB Comp (v1.00 20.84%)
Limiter.ZD2, Limiter (v1.00 5.43%)
OrangLim.ZD2, Orange Limi (v1.00 14.48%)
ZNR.ZD2, ZNR (v1.10 4.35%)
N_GATE.ZD2, NoiseGate (v1.10 6.81%)
DirtGate.ZD2, Dirty Gate (v1.00 2.66%)
SLWATK.ZD2, SlowATTCK (v1.10 5.41%)

:: Filters & EQ ::
AUTOWAH.ZD2, AutoWah (v1.10 7.06%)
RESONANC.ZD2, Reso FLTR (v1.10 7.96%)
A_FILTER.ZD2, A-Filter (v1.00 7.22%)
Z_TRON.ZD2, Z TronFLT (v1.00 7.00%)
LOWPASSF.ZD2, LowPassFL (v1.10 8.12%)
B_ATWAH.ZD2, BassA-Wah (v1.00 7.10%)
CRY.ZD2, CryFilter (v1.10 5.90%)
BA_CRY.ZD2, Bass Cry (v1.00 9.68%)
LFO_FLTR.ZD2, LFO FLTR (v1.10 8.61%)
SEQFLTR.ZD2, SeqFLTR (v1.10 8.53%)
RNDMFLTR.ZD2, RndmFLTR (v1.10 8.20%)
STEP5G.ZD2, StepFLTR (v1.10 7.96%)
CombFLTR.ZD2, Comb Filter (v1.00 4.52%)
SlowFLTR.ZD2, SlowFLTR (v1.00 10.86%)
GT_GEQ1U.ZD2, Gt GEQ (v1.10 5.90%)
STGTGE1U.ZD2, St Gt GEQ (v1.10 10.74%)
PARAEQ5G.ZD2, ParaEQ (v1.10 5.08%)
BA_GEQ1U.ZD2, BassGEQ (v1.00 5.41%)
STBGEQ1U.ZD2, St Ba GEQ (v1.00 7.34%)
BA_PEQ.ZD2, BassPEQ (v1.00 4.18%)
EXCITER.ZD2, Exciter (v1.10 8.70%)
Bottom_B.ZD2, Bottom B (v1.10 5.83%)
SPLITTER.ZD2, Splitter (v1.00 5.58%)

:: Modulation ::
CHORUS_C.ZD2, Chorus (v1.00 6.77%)
CLONECHO.ZD2, CloneCho (v1.10 10.25%)
SUPERC_C.ZD2, ChorusOne (v1.10 8.45%)
CRN_CHO.ZD2, CoronaCho (v1.00 10.96%)
CRNTRI_C.ZD2, TriChorus (v1.10 12.52%)
ANA234_C.ZD2, AnalogCho (v1.00 9.52%)
VTGCE.ZD2, VintageCE (v1.00 7.79%)
CE_CHO5.ZD2, CE_Cho5 (v1.00 9.15%)
B_CHORUS.ZD2, Ba Chorus (v1.00 7.89%)
ENSEMBLE.ZD2, Ensemble (v1.00 7.44%)
B_ENSMBL.ZD2, Ba_Ensmbl (v1.00 7.69%)
STCHO_C.ZD2, StereoCho (v1.00 7.46%)
BENDC_C.ZD2, BendCho (v1.10 8.70%)
SILKYCHO.ZD2, SilkyCho (v1.00 15.89%)
MIRAGECH.ZD2, MirageCho (v1.00 6.74%)
DETUNE_C.ZD2, Detune (v1.00 5.90%)
B_DETUNE.ZD2, Ba Detune (v1.00 12.14%)
TREM70.ZD2, Tremolo (v1.00 2.76%)
TREMOLO.ZD2, ORG Trem (v1.00 8.78%)
DUOTREM.ZD2, DuoTrem (v1.00 4.62%)
PHASER_C.ZD2, Phaser (v1.00 7.46%)
STONEPHA.ZD2, StonePha (v1.10 7.79%)
WRPPHASE.ZD2, WarpPhase (v1.10 9.02%)
DUOPHA1U.ZD2, Duo Phase (v1.10 9.84%)
THEVIB_C.ZD2, TheVibe (v1.10 9.76%)
FLANGER.ZD2, Flanger (v1.00 5.98%)
B_FLNGR.ZD2, BaFlanger (v1.00 6.74%)
VINFLN_C.ZD2, VinFLNGR (v1.10 5.90%)
B_VFLNG.ZD2, BaVinFLNG (v1.00 7.38%)
BFFLNGR2.ZD2, BF_Flanger2 (v1.00 8.65%)
KKFLNG1U.ZD2, Kick FLNG (v1.10 6.97%)
DYNFLNGR.ZD2, DynaFLNGR (v1.00 7.59%)
VIBRAT_C.ZD2, Vibrato (v1.00 7.38%)
SWELLVIB.ZD2, SwellVibe (v1.10 9.76%)
OCTAVE_C.ZD2, Octaver (v1.00 6.73%)
B_OCTAVE.ZD2, BaOctaver (v1.00 7.46%)
B_MOCT.ZD2, Ba AnaOct (v1.00 16.82%)
PLYOCT.ZD2, PolyOct (v1.00 13.94%)
HPS_C.ZD2, HPS (v1.00 6.64%)
PLYLIGHT.ZD2, PolyShift (v1.00 13.94%)
GEMINOS.ZD2, GEMINOS (v1.10 10.42%)
RINGMOD.ZD2, RingMod (v1.10 4.76%)
SLICER_C.ZD2, Slicer (v1.00 8.28%)

:: SFX ::
AUTOPN_C.ZD2, AutoPan (v1.00 4.10%)
LOOPROLL.ZD2, LoopRoll (v1.10 5.46%)
BOMBER.ZD2, Bomber (v1.10 8.45%)
BITCRUSH.ZD2, BitCrush (v1.00 3.17%)
MONOSYN.ZD2, MonoSynth (v1.00 3.72%)
Z_ORGAN.ZD2, Z-Organ (v1.00 8.55%)
RTCLOSET.ZD2, RtCloset (v1.00 12.47%)
LINESEL.ZD2, LineSel (v1.00 4.10%)
BPM_MDL.ZD2, BPM (v1.00 0.00%)

