:: Amps & Preamps ::
MS45OSST.ZD2, MS 45os (v1.00 66.46%)
MS1959ST.ZD2, MS 1959 (v1.00 64.60%)
MS800_ST.ZD2, MS 800 (v1.00 71.04%)
FDBMANST.ZD2, FD B-MAN (v1.00 55.15%)
FD_TWRST.ZD2, FD TWIN-R (v1.00 72.04%)
FDDLXRST.ZD2, FD DLX-R (v1.00 63.90%)
FDMSTRST.ZD2, FD MASTER (v1.00 71.54%)
UK30A_ST.ZD2, UK 30A (v1.00 69.03%)
BGMK1_ST.ZD2, BG MARK1 (v1.00 76.77%)
BGMK3_ST.ZD2, BG MARK3 (v1.00 75.96%)
RCTORGST.ZD2, RectiDual (v1.00 64.35%)
XTSBL_ST.ZD2, XtasyBlue (v1.00 67.62%)
HW100_ST.ZD2, HW 100 (v1.00 70.64%)
ORG120ST.ZD2, ORG120 (v1.00 71.14%)
DZ_DRVST.ZD2, DZ DRIVE (v1.00 66.86%)
MACH30ST.ZD2, MATCH30 (v1.00 70.38%)
KRMPS_ST.ZD2, KRAMPUS (v1.00 69.23%)
REDLM_ST.ZD2, REDLOOM (v1.00 71.14%)
VELVT_ST.ZD2, VELVET (v1.00 73.85%)
MUDDY_ST.ZD2, MUDDY (v1.00 74.46%)
7HEVN_ST.ZD2, 7 HEAVEN (v1.00 69.13%)
POLEX_ST.ZD2, POLLEX (v1.00 72.24%)
WCANVAS.ZD2, WH CANVAS (v1.00 74.40%)

:: Dynamics & EQ ::
N_GATE.ZD2, NoiseGate (v1.00 6.81%)
ZNR.ZD2, ZNR (v1.00 4.35%)
STGTGE1U.ZD2, St Gt GEQ (v1.00 10.74%)
STGTGE7.ZD2, St GtGEQ7 (v1.00 5.74%)
STPARAEQ.ZD2, St ParaEQ (v1.00 5.08%)
STLOWEQ.ZD2, St Low EQ (v1.00 4.43%)
STHIGHEQ.ZD2, St HighEQ (v1.00 3.32%)
BPM_MDL.ZD2, BPM (v1.00 0.00%)

:: Delays ::
DELAY_I.ZD2, Delay (v1.10 5.50%)
ANDLY_I.ZD2, AnalogDly (v1.10 5.50%)
TAPECH_I.ZD2, TapeEcho (v1.10 6.97%)
STDLY_I.ZD2, StereoDly (v1.00 6.64%)

:: Studio Ambience / Reverbs ::
STUDIO2.ZD2, WoodyStd. (v1.00 22.64%)
STUDIO3.ZD2, UrbanStd. (v1.00 22.64%)
STUDIO4.ZD2, MusicClub (v1.00 22.64%)
STUDIO5.ZD2, C. Hall (v1.00 22.64%)
STUDIO6.ZD2, L Chapel (v1.00 22.64%)
